,review,tokenized,freq_dist
0,flew malaga via lhr boston may arrival boston discovered luggage still london filed report days later sign luggage baggage customer service joke interested clients giving good service updates useless know luggage sitting boston since air tag inside airline seem intention getting luggage robots fb messenger twitter useless opened complaint checked update complaint case closed despite never contacted human airline joke ever get luggage back doubt ever fly worse air canada book saying something,"['flew', 'malaga', 'via', 'lhr', 'boston', 'may', 'arrival', 'boston', 'discovered', 'luggage', 'still', 'london', 'filed', 'report', 'days', 'later', 'sign', 'luggage', 'baggage', 'customer', 'service', 'joke', 'interested', 'clients', 'giving', 'good', 'service', 'updates', 'useless', 'know', 'luggage', 'sitting', 'boston', 'since', 'air', 'tag', 'inside', 'airline', 'seem', 'intention', 'getting', 'luggage', 'robots', 'fb', 'messenger', 'twitter', 'useless', 'opened', 'complaint', 'checked', 'update', 'complaint', 'case', 'closed', 'despite', 'never', 'contacted', 'human', 'airline', 'joke', 'ever', 'get', 'luggage', 'back', 'doubt', 'ever', 'fly', 'worse', 'air', 'canada', 'book', 'saying', 'something']",<FreqDist with 60 samples and 73 outcomes>
1,trip milan miami return via london worst business class ever layout ba crazy width seats outrageous aisle seats shame ba length ok jump legs another passenger heshe sleeping mode unbelievable system dividers reach seats crew absurd awful never layout meal average lhr mia return quite good unfortunately ba flew march qatar airways business class comparable highlight difference ba row seats qr seats thats top service quite strange mainly due dividers boarding procedures look well organized beginning boarding become quite messy,"['trip', 'milan', 'miami', 'return', 'via', 'london', 'worst', 'business', 'class', 'ever', 'layout', 'ba', 'crazy', 'width', 'seats', 'outrageous', 'aisle', 'seats', 'shame', 'ba', 'length', 'ok', 'jump', 'legs', 'another', 'passenger', 'heshe', 'sleeping', 'mode', 'unbelievable', 'system', 'dividers', 'reach', 'seats', 'crew', 'absurd', 'awful', 'never', 'layout', 'meal', 'average', 'lhr', 'mia', 'return', 'quite', 'good', 'unfortunately', 'ba', 'flew', 'march', 'qatar', 'airways', 'business', 'class', 'comparable', 'highlight', 'difference', 'ba', 'row', 'seats', 'qr', 'seats', 'thats', 'top', 'service', 'quite', 'strange', 'mainly', 'due', 'dividers', 'boarding', 'procedures', 'look', 'well', 'organized', 'beginning', 'boarding', 'become', 'quite', 'messy']",<FreqDist with 65 samples and 80 outcomes>
2,trip ba created new lowcost subsidiary ba euroflyer flights london gatwick passenger point view meant mean difference service ba mainline shorthaul heathrow however definitely inferior firstly seats ba promised keep old much comfortable pinnacle seats row refurbishment planes slimline seats however ba euroflyer seems whole plane installed planes despite snagging seat row ended still horrible back breaking seats lumbar support headrests one positive new seats meant atseat power charge devices either onboard service meant include complimentary food drink namely sweet savoury snack small bottle harrogate spa water got horrible nairns raisin oat biscuits without asking wed like choice water return flight explicitly announced wed offered glass water free offered service snack sole choice pack mcvities milk chocolate digestive hardly premium downgrade alternative upmarket offerings weve received flying heathrow way back nonrefurbished plane pinnacle seats welcome however clearly plane maintained one toilet water flowing tap irritating soap wash hands going toilet went rinse hand toilet luckily busy tap working sink draining almost overflowed lastly cabin crew ba euroflyer unpolished look miserable extremely demotivated lot young talking late teens clearly inexperienced likely stay long conditions offered ba really needs rethink product offering shorthaul ultimately people choose fly variety reasons invariably reason like us fly lowcost rivals want peace mind less stress comfortable replicating likes ryanair easyjet wizz air alienating customer choose ba avoid kind experience offer award ticket looking cash tickets theyre even cheap offer better timings rivals despite beancounting,"['trip', 'ba', 'created', 'new', 'lowcost', 'subsidiary', 'ba', 'euroflyer', 'flights', 'london', 'gatwick', 'passenger', 'point', 'view', 'meant', 'mean', 'difference', 'service', 'ba', 'mainline', 'shorthaul', 'heathrow', 'however', 'definitely', 'inferior', 'firstly', 'seats', 'ba', 'promised', 'keep', 'old', 'much', 'comfortable', 'pinnacle', 'seats', 'row', 'refurbishment', 'planes', 'slimline', 'seats', 'however', 'ba', 'euroflyer', 'seems', 'whole', 'plane', 'installed', 'planes', 'despite', 'snagging', 'seat', 'row', 'ended', 'still', 'horrible', 'back', 'breaking', 'seats', 'lumbar', 'support', 'headrests', 'one', 'positive', 'new', 'seats', 'meant', 'atseat', 'power', 'charge', 'devices', 'either', 'onboard', 'service', 'meant', 'include', 'complimentary', 'food', 'drink', 'namely', 'sweet', 'savoury', 'snack', 'small', 'bottle', 'harrogate', 'spa', 'water', 'got', 'horrible', 'nairns', 'raisin', 'oat', 'biscuits', 'without', 'asking', 'wed', 'like', 'choice', 'water', 'return', 'flight', 'explicitly', 'announced', 'wed', 'offered', 'glass', 'water', 'free', 'offered', 'service', 'snack', 'sole', 'choice', 'pack', 'mcvities', 'milk', 'chocolate', 'digestive', 'hardly', 'premium', 'downgrade', 'alternative', 'upmarket', 'offerings', 'weve', 'received', 'flying', 'heathrow', 'way', 'back', 'nonrefurbished', 'plane', 'pinnacle', 'seats', 'welcome', 'however', 'clearly', 'plane', 'maintained', 'one', 'toilet', 'water', 'flowing', 'tap', 'irritating', 'soap', 'wash', 'hands', 'going', 'toilet', 'went', 'rinse', 'hand', 'toilet', 'luckily', 'busy', 'tap', 'working', 'sink', 'draining', 'almost', 'overflowed', 'lastly', 'cabin', 'crew', 'ba', 'euroflyer', 'unpolished', 'look', 'miserable', 'extremely', 'demotivated', 'lot', 'young', 'talking', 'late', 'teens', 'clearly', 'inexperienced', 'likely', 'stay', 'long', 'conditions', 'offered', 'ba', 'really', 'needs', 'rethink', 'product', 'offering', 'shorthaul', 'ultimately', 'people', 'choose', 'fly', 'variety', 'reasons', 'invariably', 'reason', 'like', 'us', 'fly', 'lowcost', 'rivals', 'want', 'peace', 'mind', 'less', 'stress', 'comfortable', 'replicating', 'likes', 'ryanair', 'easyjet', 'wizz', 'air', 'alienating', 'customer', 'choose', 'ba', 'avoid', 'kind', 'experience', 'offer', 'award', 'ticket', 'looking', 'cash', 'tickets', 'theyre', 'even', 'cheap', 'offer', 'better', 'timings', 'rivals', 'despite', 'beancounting']",<FreqDist with 187 samples and 238 outcomes>
3,trip flew british airways heathrow hannover although checkin process relatively quick noticeable lack staffanother apparent costcutting measure ba upon arriving hannover found luggage made airport staff assist file report online following day received call saying luggage would arrive later flight help since german shops closed sundays leaving without essential items result confined hotel unable attend planned events suitable clothing luggage eventually reached hannover airport got call ba informing deliver another day two advised take taxi pick said could claim back cost submitted claim ba refused cover taxi expenses also declined offer compensation inconvenience caused delayed baggage even though disrupted full day trip service return flight frankfurt also par ground crew frankfurt airport slow rude check bas customer service declined significantly resembling level budget airlines like easyjet ryanairbut premium price given recent experience avoid flying ba whenever possible,"['trip', 'flew', 'british', 'airways', 'heathrow', 'hannover', 'although', 'checkin', 'process', 'relatively', 'quick', 'noticeable', 'lack', 'staffanother', 'apparent', 'costcutting', 'measure', 'ba', 'upon', 'arriving', 'hannover', 'found', 'luggage', 'made', 'airport', 'staff', 'assist', 'file', 'report', 'online', 'following', 'day', 'received', 'call', 'saying', 'luggage', 'would', 'arrive', 'later', 'flight', 'help', 'since', 'german', 'shops', 'closed', 'sundays', 'leaving', 'without', 'essential', 'items', 'result', 'confined', 'hotel', 'unable', 'attend', 'planned', 'events', 'suitable', 'clothing', 'luggage', 'eventually', 'reached', 'hannover', 'airport', 'got', 'call', 'ba', 'informing', 'deliver', 'another', 'day', 'two', 'advised', 'take', 'taxi', 'pick', 'said', 'could', 'claim', 'back', 'cost', 'submitted', 'claim', 'ba', 'refused', 'cover', 'taxi', 'expenses', 'also', 'declined', 'offer', 'compensation', 'inconvenience', 'caused', 'delayed', 'baggage', 'even', 'though', 'disrupted', 'full', 'day', 'trip', 'service', 'return', 'flight', 'frankfurt', 'also', 'par', 'ground', 'crew', 'frankfurt', 'airport', 'slow', 'rude', 'check', 'bas', 'customer', 'service', 'declined', 'significantly', 'resembling', 'level', 'budget', 'airlines', 'like', 'easyjet', 'ryanairbut', 'premium', 'price', 'given', 'recent', 'experience', 'avoid', 'flying', 'ba', 'whenever', 'possible']",<FreqDist with 117 samples and 137 outcomes>
4,trip manchester copenhagen via london april aircrafts respectively decent condition arrived africa transit change terminal cumbersome tedious checkin quick easy professional got desired seats due silver status ba go one worst security checks ever encountered fragmenting almost every item carryons escape lounge quite decent particular beer choices prosecco sparkling wine food poor neither savoury snacks meaty food good tarmac view first flight delayed forcing catch lhr within hour however informed clearly gate upon arriving lhr assisting next gate airline managed transfer luggage extremely narrow timeslot onboard minibottle water bagged crumbs given fairly useless superfluous ife wifi annoying charity beggings fas flights intrusive annoying disrespectful degrades airline offerings onboard like discount carriers except pricier arrived final destination time luggage,"['trip', 'manchester', 'copenhagen', 'via', 'london', 'april', 'aircrafts', 'respectively', 'decent', 'condition', 'arrived', 'africa', 'transit', 'change', 'terminal', 'cumbersome', 'tedious', 'checkin', 'quick', 'easy', 'professional', 'got', 'desired', 'seats', 'due', 'silver', 'status', 'ba', 'go', 'one', 'worst', 'security', 'checks', 'ever', 'encountered', 'fragmenting', 'almost', 'every', 'item', 'carryons', 'escape', 'lounge', 'quite', 'decent', 'particular', 'beer', 'choices', 'prosecco', 'sparkling', 'wine', 'food', 'poor', 'neither', 'savoury', 'snacks', 'meaty', 'food', 'good', 'tarmac', 'view', 'first', 'flight', 'delayed', 'forcing', 'catch', 'lhr', 'within', 'hour', 'however', 'informed', 'clearly', 'gate', 'upon', 'arriving', 'lhr', 'assisting', 'next', 'gate', 'airline', 'managed', 'transfer', 'luggage', 'extremely', 'narrow', 'timeslot', 'onboard', 'minibottle', 'water', 'bagged', 'crumbs', 'given', 'fairly', 'useless', 'superfluous', 'ife', 'wifi', 'annoying', 'charity', 'beggings', 'fas', 'flights', 'intrusive', 'annoying', 'disrespectful', 'degrades', 'airline', 'offerings', 'onboard', 'like', 'discount', 'carriers', 'except', 'pricier', 'arrived', 'final', 'destination', 'time', 'luggage']",<FreqDist with 109 samples and 118 outcomes>
5,trip never seen disrespect customer time months unable checkin website working properly lost hours phone customer service team airport asked check hand luggage space cabin could recline seat staff rude unhelpful wifi also working made multiple complaints one ever even contacted never using,"['trip', 'never', 'seen', 'disrespect', 'customer', 'time', 'months', 'unable', 'checkin', 'website', 'working', 'properly', 'lost', 'hours', 'phone', 'customer', 'service', 'team', 'airport', 'asked', 'check', 'hand', 'luggage', 'space', 'cabin', 'could', 'recline', 'seat', 'staff', 'rude', 'unhelpful', 'wifi', 'also', 'working', 'made', 'multiple', 'complaints', 'one', 'ever', 'even', 'contacted', 'never', 'using']",<FreqDist with 40 samples and 43 outcomes>
6,trip paid hour long flight ticket includes use inflight entertainment system ended seat inflight entertainment system malfunctioning could used flight attendants sought perform service recovery customer relations team contacted said team slightly week later offer evoucher used purchasing additional flight tickets ba explained intentions travelling within next two years use evoucher sought alternative form compensation instead something could really useful instead customer relations simply brushed request unable offer alternate gesture goodwill compensation british airways matter goodwill pay ticket get paid full compensation one requires spend even money airline disappoint ultimately selfserving inconsiderate undiscerning insincere compensation even anything feel guilty remorseful compensation gesture goodwill something deserve view,"['trip', 'paid', 'hour', 'long', 'flight', 'ticket', 'includes', 'use', 'inflight', 'entertainment', 'system', 'ended', 'seat', 'inflight', 'entertainment', 'system', 'malfunctioning', 'could', 'used', 'flight', 'attendants', 'sought', 'perform', 'service', 'recovery', 'customer', 'relations', 'team', 'contacted', 'said', 'team', 'slightly', 'week', 'later', 'offer', 'evoucher', 'used', 'purchasing', 'additional', 'flight', 'tickets', 'ba', 'explained', 'intentions', 'travelling', 'within', 'next', 'two', 'years', 'use', 'evoucher', 'sought', 'alternative', 'form', 'compensation', 'instead', 'something', 'could', 'really', 'useful', 'instead', 'customer', 'relations', 'simply', 'brushed', 'request', 'unable', 'offer', 'alternate', 'gesture', 'goodwill', 'compensation', 'british', 'airways', 'matter', 'goodwill', 'pay', 'ticket', 'get', 'paid', 'full', 'compensation', 'one', 'requires', 'spend', 'even', 'money', 'airline', 'disappoint', 'ultimately', 'selfserving', 'inconsiderate', 'undiscerning', 'insincere', 'compensation', 'even', 'anything', 'feel', 'guilty', 'remorseful', 'compensation', 'gesture', 'goodwill', 'something', 'deserve', 'view']",<FreqDist with 80 samples and 106 outcomes>
7,trip inconsiderate pa announcements made purser appearingly decided exchange career ba comedy club acting although right setting first prelanding pa colleague long week british airways dimming lights dont want see faces afraid dark look passenger next although clearly pursers intent sounded like mocking careless people aero darkness phobias may panic attack joke inconsiderate damages bas brand safe accessible trusted airline second pa landing youd like make complaint go call easyjet felt genuinely insulted joke ba charged abusive fee end literally beg rude dismissive ground staff madrid check roller bag gate recently surgery needed hold onto walk instant noodles purchased onboard barely edible cabin crew except one disappeared galley loudly chatting laughing looked nuisance even wanted pass visit lavatory chief purser effectively announces anyone unhappy go fly someone else wake ba already worse easyjet ryanair terms value money note ones found pursers jokes funny cabin crew made vulgar laughs passengers remained dead silent understand airlines scaling back services cut costs never understand allow staff openly mock insult passengers ba silver member loyal ba customer years disgrace,"['trip', 'inconsiderate', 'pa', 'announcements', 'made', 'purser', 'appearingly', 'decided', 'exchange', 'career', 'ba', 'comedy', 'club', 'acting', 'although', 'right', 'setting', 'first', 'prelanding', 'pa', 'colleague', 'long', 'week', 'british', 'airways', 'dimming', 'lights', 'dont', 'want', 'see', 'faces', 'afraid', 'dark', 'look', 'passenger', 'next', 'although', 'clearly', 'pursers', 'intent', 'sounded', 'like', 'mocking', 'careless', 'people', 'aero', 'darkness', 'phobias', 'may', 'panic', 'attack', 'joke', 'inconsiderate', 'damages', 'bas', 'brand', 'safe', 'accessible', 'trusted', 'airline', 'second', 'pa', 'landing', 'youd', 'like', 'make', 'complaint', 'go', 'call', 'easyjet', 'felt', 'genuinely', 'insulted', 'joke', 'ba', 'charged', 'abusive', 'fee', 'end', 'literally', 'beg', 'rude', 'dismissive', 'ground', 'staff', 'madrid', 'check', 'roller', 'bag', 'gate', 'recently', 'surgery', 'needed', 'hold', 'onto', 'walk', 'instant', 'noodles', 'purchased', 'onboard', 'barely', 'edible', 'cabin', 'crew', 'except', 'one', 'disappeared', 'galley', 'loudly', 'chatting', 'laughing', 'looked', 'nuisance', 'even', 'wanted', 'pass', 'visit', 'lavatory', 'chief', 'purser', 'effectively', 'announces', 'anyone', 'unhappy', 'go', 'fly', 'someone', 'else', 'wake', 'ba', 'already', 'worse', 'easyjet', 'ryanair', 'terms', 'value', 'money', 'note', 'ones', 'found', 'pursers', 'jokes', 'funny', 'cabin', 'crew', 'made', 'vulgar', 'laughs', 'passengers', 'remained', 'dead', 'silent', 'understand', 'airlines', 'scaling', 'back', 'services', 'cut', 'costs', 'never', 'understand', 'allow', 'staff', 'openly', 'mock', 'insult', 'passengers', 'ba', 'silver', 'member', 'loyal', 'ba', 'customer', 'years', 'disgrace']",<FreqDist with 155 samples and 175 outcomes>
8,trip absolutely terrible lost luggage flights delivered days later smashed pieces lete departure caused miss connecting flight yielding hour delay aircraft oversubscribed dirty unpleasant persistent odour food genuinely horrible im ex forces ill eat almost anything usually,"['trip', 'absolutely', 'terrible', 'lost', 'luggage', 'flights', 'delivered', 'days', 'later', 'smashed', 'pieces', 'lete', 'departure', 'caused', 'miss', 'connecting', 'flight', 'yielding', 'hour', 'delay', 'aircraft', 'oversubscribed', 'dirty', 'unpleasant', 'persistent', 'odour', 'food', 'genuinely', 'horrible', 'im', 'ex', 'forces', 'ill', 'eat', 'almost', 'anything', 'usually']",<FreqDist with 37 samples and 37 outcomes>
9,trip booked premium economy round trip phoenix zurich via aa codeshare operated british airway way return flight back phoenix february first leg ba flight zurich london heathrow delayed departure cause us missed ba connection flight heathrow phoenix first problem dash terminal security check point pm airplane still gate depart pm schedule almost min point however terminal security stopped us told cannot pass thru security due airline requirement later realized flight leave pm directed customer service rebook flight got ba customer service transfer counter one agent available least passengers waiting lines told ba short staffs due british holiday end february soccer championship match sunday took us least hour half rebook flight next day also seems much option want back phoenix different flight day agent rebooked flight told us printer broken need go zone terminal get ticket hotel voucher printed found zone ticket voucher hand assure agent luggage next day flight us well also told shuttle bus around corner take us hotel however map detail direction provided took us find shuttle back side terminal time arrived hotel tired next day arrived airport hours ahead scheduled departed time pm noticed checked two bags spot based iphones find feature apple air tag checked bags checked gate agent confirmed one checked bag associated flight luckily flight delayed two hours bag made flight flight team young flight attendants generally pleasant missed service meal order special meal popular chicken dish available came row told chicken dish ok told give minutes bring different chicken dish however totally forgot came back collect trash mentioned forgot chicken dish surprised acting like lying overall think premium economy flight ba worst experience recent memory british flagship carrier seem care emailed sent experience customer service responded standard corporate reply one email templates,"['trip', 'booked', 'premium', 'economy', 'round', 'trip', 'phoenix', 'zurich', 'via', 'aa', 'codeshare', 'operated', 'british', 'airway', 'way', 'return', 'flight', 'back', 'phoenix', 'february', 'first', 'leg', 'ba', 'flight', 'zurich', 'london', 'heathrow', 'delayed', 'departure', 'cause', 'us', 'missed', 'ba', 'connection', 'flight', 'heathrow', 'phoenix', 'first', 'problem', 'dash', 'terminal', 'security', 'check', 'point', 'pm', 'airplane', 'still', 'gate', 'depart', 'pm', 'schedule', 'almost', 'min', 'point', 'however', 'terminal', 'security', 'stopped', 'us', 'told', 'pass', 'thru', 'security', 'due', 'airline', 'requirement', 'later', 'realized', 'flight', 'leave', 'pm', 'directed', 'customer', 'service', 'rebook', 'flight', 'got', 'ba', 'customer', 'service', 'transfer', 'counter', 'one', 'agent', 'available', 'least', 'passengers', 'waiting', 'lines', 'told', 'ba', 'short', 'staffs', 'due', 'british', 'holiday', 'end', 'february', 'soccer', 'championship', 'match', 'sunday', 'took', 'us', 'least', 'hour', 'half', 'rebook', 'flight', 'next', 'day', 'also', 'seems', 'much', 'option', 'want', 'back', 'phoenix', 'different', 'flight', 'day', 'agent', 'rebooked', 'flight', 'told', 'us', 'printer', 'broken', 'need', 'go', 'zone', 'terminal', 'get', 'ticket', 'hotel', 'voucher', 'printed', 'found', 'zone', 'ticket', 'voucher', 'hand', 'assure', 'agent', 'luggage', 'next', 'day', 'flight', 'us', 'well', 'also', 'told', 'shuttle', 'bus', 'around', 'corner', 'take', 'us', 'hotel', 'however', 'map', 'detail', 'direction', 'provided', 'took', 'us', 'find', 'shuttle', 'back', 'side', 'terminal', 'time', 'arrived', 'hotel', 'tired', 'next', 'day', 'arrived', 'airport', 'hours', 'ahead', 'scheduled', 'departed', 'time', 'pm', 'noticed', 'checked', 'two', 'bags', 'spot', 'based', 'iphones', 'find', 'feature', 'apple', 'air', 'tag', 'checked', 'bags', 'checked', 'gate', 'agent', 'confirmed', 'one', 'checked', 'bag', 'associated', 'flight', 'luckily', 'flight', 'delayed', 'two', 'hours', 'bag', 'made', 'flight', 'flight', 'team', 'young', 'flight', 'attendants', 'generally', 'pleasant', 'missed', 'service', 'meal', 'order', 'special', 'meal', 'popular', 'chicken', 'dish', 'available', 'came', 'row', 'told', 'chicken', 'dish', 'ok', 'told', 'give', 'minutes', 'bring', 'different', 'chicken', 'dish', 'however', 'totally', 'forgot', 'came', 'back', 'collect', 'trash', 'mentioned', 'forgot', 'chicken', 'dish', 'surprised', 'acting', 'like', 'lying', 'overall', 'think', 'premium', 'economy', 'flight', 'ba', 'worst', 'experience', 'recent', 'memory', 'british', 'flagship', 'carrier', 'seem', 'care', 'emailed', 'sent', 'experience', 'customer', 'service', 'responded', 'standard', 'corporate', 'reply', 'one', 'email', 'templates']",<FreqDist with 182 samples and 288 outcomes>
